Input	Output
turn opposite left twice and xrym	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_XRYM
pzur around right after jpxb around left thrice	I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR
cgbo left thrice and turn left	I_TURN_LEFT I_CGBO I_TURN_LEFT I_CGBO I_TURN_LEFT I_CGBO I_TURN_LEFT
yjft opposite left thrice and yjft left thrice	I_TURN_LEFT I_TURN_LEFT I_YJFT I_TURN_LEFT I_TURN_LEFT I_YJFT I_TURN_LEFT I_TURN_LEFT I_YJFT I_TURN_LEFT I_YJFT I_TURN_LEFT I_YJFT I_TURN_LEFT I_YJFT
aowu thrice after turn around right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_AOWU I_AOWU I_AOWU
dlmc opposite right thrice and turn left thrice	I_TURN_RIGHT I_TURN_RIGHT I_DLMC I_TURN_RIGHT I_TURN_RIGHT I_DLMC I_TURN_RIGHT I_TURN_RIGHT I_DLMC I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn opposite right after knfs around left thrice	I_TURN_LEFT I_KNFS I_TURN_LEFT I_KNFS I_TURN_LEFT I_KNFS I_TURN_LEFT I_KNFS I_TURN_LEFT I_KNFS I_TURN_LEFT I_KNFS I_TURN_LEFT I_KNFS I_TURN_LEFT I_KNFS I_TURN_LEFT I_KNFS I_TURN_LEFT I_KNFS I_TURN_LEFT I_KNFS I_TURN_LEFT I_KNFS I_TURN_RIGHT I_TURN_RIGHT
yjft opposite left and abiu left thrice	I_TURN_LEFT I_TURN_LEFT I_YJFT I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU
turn left after ufnu opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_TURN_RIGHT I_UFNU I_TURN_LEFT
zhkg left twice after zhkg left	I_TURN_LEFT I_ZHKG I_TURN_LEFT I_ZHKG I_TURN_LEFT I_ZHKG
turn right and garz right	I_TURN_RIGHT I_TURN_RIGHT I_GARZ
eegp opposite left after turn left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_EEGP
pzur left thrice after turn opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_PZUR I_TURN_LEFT I_PZUR I_TURN_LEFT I_PZUR
byrr around left after turn opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_BYRR I_TURN_LEFT I_BYRR I_TURN_LEFT I_BYRR I_TURN_LEFT I_BYRR
hutm around right twice after hutm opposite left twice	I_TURN_LEFT I_TURN_LEFT I_HUTM I_TURN_LEFT I_TURN_LEFT I_HUTM I_TURN_RIGHT I_HUTM I_TURN_RIGHT I_HUTM I_TURN_RIGHT I_HUTM I_TURN_RIGHT I_HUTM I_TURN_RIGHT I_HUTM I_TURN_RIGHT I_HUTM I_TURN_RIGHT I_HUTM I_TURN_RIGHT I_HUTM
zwjm right thrice after zwjm right twice	I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM
uajp opposite left twice and eguy thrice	I_TURN_LEFT I_TURN_LEFT I_UAJP I_TURN_LEFT I_TURN_LEFT I_UAJP I_EGUY I_EGUY I_EGUY
fkes around right and aowu right twice	I_TURN_RIGHT I_FKES I_TURN_RIGHT I_FKES I_TURN_RIGHT I_FKES I_TURN_RIGHT I_FKES I_TURN_RIGHT I_AOWU I_TURN_RIGHT I_AOWU
turn around right and yvbl around right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_YVBL I_TURN_RIGHT I_YVBL I_TURN_RIGHT I_YVBL I_TURN_RIGHT I_YVBL
zsvr opposite left twice after xrym right	I_TURN_RIGHT I_XRYM I_TURN_LEFT I_TURN_LEFT I_ZSVR I_TURN_LEFT I_TURN_LEFT I_ZSVR
turn around right twice after kvur around left	I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
gyjs opposite left thrice after vosv opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_VOSV I_TURN_RIGHT I_TURN_RIGHT I_VOSV I_TURN_LEFT I_TURN_LEFT I_GYJS I_TURN_LEFT I_TURN_LEFT I_GYJS I_TURN_LEFT I_TURN_LEFT I_GYJS
mgai opposite right thrice after rjxc around left twice	I_TURN_LEFT I_RJXC I_TURN_LEFT I_RJXC I_TURN_LEFT I_RJXC I_TURN_LEFT I_RJXC I_TURN_LEFT I_RJXC I_TURN_LEFT I_RJXC I_TURN_LEFT I_RJXC I_TURN_LEFT I_RJXC I_TURN_RIGHT I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_TURN_RIGHT I_MGAI
turn opposite left twice and yvbl opposite left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_YVBL
ohlm left thrice after turn right	I_TURN_RIGHT I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM
reqk opposite right twice after turn right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_REQK I_TURN_RIGHT I_TURN_RIGHT I_REQK
turn around left and eguy opposite left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_EGUY
imql opposite right and reqk	I_TURN_RIGHT I_TURN_RIGHT I_IMQL I_REQK
turn opposite right and aowu opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_AOWU I_TURN_RIGHT I_TURN_RIGHT I_AOWU
turn left thrice and ybgz left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_YBGZ I_TURN_LEFT I_YBGZ I_TURN_LEFT I_YBGZ
turn opposite right twice and fkes	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_FKES
ohlm opposite left after turn left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_OHLM
hklu around right twice and dpnk thrice	I_TURN_RIGHT I_HKLU I_TURN_RIGHT I_HKLU I_TURN_RIGHT I_HKLU I_TURN_RIGHT I_HKLU I_TURN_RIGHT I_HKLU I_TURN_RIGHT I_HKLU I_TURN_RIGHT I_HKLU I_TURN_RIGHT I_HKLU I_DPNK I_DPNK I_DPNK
turn around right twice and look left twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_LOOK I_TURN_LEFT I_LOOK
fcbf opposite left thrice and dpnk around right twice	I_TURN_LEFT I_TURN_LEFT I_FCBF I_TURN_LEFT I_TURN_LEFT I_FCBF I_TURN_LEFT I_TURN_LEFT I_FCBF I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK
boch left twice and boch opposite left thrice	I_TURN_LEFT I_BOCH I_TURN_LEFT I_BOCH I_TURN_LEFT I_TURN_LEFT I_BOCH I_TURN_LEFT I_TURN_LEFT I_BOCH I_TURN_LEFT I_TURN_LEFT I_BOCH
equr around left and equr around right	I_TURN_LEFT I_EQUR I_TURN_LEFT I_EQUR I_TURN_LEFT I_EQUR I_TURN_LEFT I_EQUR I_TURN_RIGHT I_EQUR I_TURN_RIGHT I_EQUR I_TURN_RIGHT I_EQUR I_TURN_RIGHT I_EQUR
idej opposite right thrice and turn around left twice	I_TURN_RIGHT I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_TURN_RIGHT I_IDEJ I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
vlbo around left twice after qrwp around right twice	I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_QRWP I_TURN_LEFT I_VLBO I_TURN_LEFT I_VLBO I_TURN_LEFT I_VLBO I_TURN_LEFT I_VLBO I_TURN_LEFT I_VLBO I_TURN_LEFT I_VLBO I_TURN_LEFT I_VLBO I_TURN_LEFT I_VLBO
mxay opposite right thrice and mxay opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_TURN_RIGHT I_MXAY
pzur around right thrice and turn opposite left thrice	I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn opposite left twice after ufnu opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_TURN_RIGHT I_UFNU I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
mxay opposite left thrice and vzoe opposite left twice	I_TURN_LEFT I_TURN_LEFT I_MXAY I_TURN_LEFT I_TURN_LEFT I_MXAY I_TURN_LEFT I_TURN_LEFT I_MXAY I_TURN_LEFT I_TURN_LEFT I_VZOE I_TURN_LEFT I_TURN_LEFT I_VZOE
eguy opposite left after fdjx around left thrice	I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_TURN_LEFT I_EGUY
turn around left twice and run right	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_RUN
turn opposite left after pzur around right	I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_LEFT I_TURN_LEFT
macp right and macp right thrice	I_TURN_RIGHT I_MACP I_TURN_RIGHT I_MACP I_TURN_RIGHT I_MACP I_TURN_RIGHT I_MACP
nawm opposite right and gyjs opposite left twice	I_TURN_RIGHT I_TURN_RIGHT I_NAWM I_TURN_LEFT I_TURN_LEFT I_GYJS I_TURN_LEFT I_TURN_LEFT I_GYJS
turn opposite left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
mxay around left after vzoe right thrice	I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY
zsvr right and zsvr left	I_TURN_RIGHT I_ZSVR I_TURN_LEFT I_ZSVR
mlle around left after turn around right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE
icho left thrice after turn opposite left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO
fcbf opposite right twice after dpnk left	I_TURN_LEFT I_DPNK I_TURN_RIGHT I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_TURN_RIGHT I_FCBF
turn opposite right twice after turn right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn around left thrice after cgbo opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_CGBO I_TURN_RIGHT I_TURN_RIGHT I_CGBO I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
nvnj left after nvnj left thrice	I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ
mlle right twice and eguy right thrice	I_TURN_RIGHT I_MLLE I_TURN_RIGHT I_MLLE I_TURN_RIGHT I_EGUY I_TURN_RIGHT I_EGUY I_TURN_RIGHT I_EGUY
nrob right twice after turn around right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_NROB I_TURN_RIGHT I_NROB
nvnj left twice after turn around right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ
zsvr after turn opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_ZSVR
hutm after hutm around left twice	I_TURN_LEFT I_HUTM I_TURN_LEFT I_HUTM I_TURN_LEFT I_HUTM I_TURN_LEFT I_HUTM I_TURN_LEFT I_HUTM I_TURN_LEFT I_HUTM I_TURN_LEFT I_HUTM I_TURN_LEFT I_HUTM I_HUTM
turn around right thrice and turn left twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT
lfka twice after rksp opposite right	I_TURN_RIGHT I_TURN_RIGHT I_RKSP I_LFKA I_LFKA
vbcx opposite right thrice and turn around right twice	I_TURN_RIGHT I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn around left after nvnj around right	I_TURN_RIGHT I_NVNJ I_TURN_RIGHT I_NVNJ I_TURN_RIGHT I_NVNJ I_TURN_RIGHT I_NVNJ I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
jduf around left thrice after turn around left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_JDUF I_TURN_LEFT I_JDUF I_TURN_LEFT I_JDUF I_TURN_LEFT I_JDUF I_TURN_LEFT I_JDUF I_TURN_LEFT I_JDUF I_TURN_LEFT I_JDUF I_TURN_LEFT I_JDUF I_TURN_LEFT I_JDUF I_TURN_LEFT I_JDUF I_TURN_LEFT I_JDUF I_TURN_LEFT I_JDUF
uzoh opposite right thrice and turn opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_UZOH I_TURN_RIGHT I_TURN_RIGHT I_UZOH I_TURN_RIGHT I_TURN_RIGHT I_UZOH I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn left and nrob left twice	I_TURN_LEFT I_TURN_LEFT I_NROB I_TURN_LEFT I_NROB
garz opposite right twice and turn right twice	I_TURN_RIGHT I_TURN_RIGHT I_GARZ I_TURN_RIGHT I_TURN_RIGHT I_GARZ I_TURN_RIGHT I_TURN_RIGHT
xkhp opposite right after qqiu around left twice	I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_RIGHT I_TURN_RIGHT I_XKHP
turn right twice after fkes	I_FKES I_TURN_RIGHT I_TURN_RIGHT
ciwt right twice after ciwt around right twice	I_TURN_RIGHT I_CIWT I_TURN_RIGHT I_CIWT I_TURN_RIGHT I_CIWT I_TURN_RIGHT I_CIWT I_TURN_RIGHT I_CIWT I_TURN_RIGHT I_CIWT I_TURN_RIGHT I_CIWT I_TURN_RIGHT I_CIWT I_TURN_RIGHT I_CIWT I_TURN_RIGHT I_CIWT
turn opposite left thrice after equr left	I_TURN_LEFT I_EQUR I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
tftq opposite right twice after tftq left thrice	I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ I_TURN_RIGHT I_TURN_RIGHT I_TFTQ I_TURN_RIGHT I_TURN_RIGHT I_TFTQ
hutm right twice and yjft right	I_TURN_RIGHT I_HUTM I_TURN_RIGHT I_HUTM I_TURN_RIGHT I_YJFT
wpkt right thrice after turn left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_WPKT I_TURN_RIGHT I_WPKT I_TURN_RIGHT I_WPKT
turn right twice after run around right thrice	I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_TURN_RIGHT
idej right and turn left twice	I_TURN_RIGHT I_IDEJ I_TURN_LEFT I_TURN_LEFT
tece opposite left after tece opposite right	I_TURN_RIGHT I_TURN_RIGHT I_TECE I_TURN_LEFT I_TURN_LEFT I_TECE
yvbl opposite left and idej around right	I_TURN_LEFT I_TURN_LEFT I_YVBL I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ
turn left thrice and izcb	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_IZCB
turn left thrice and vgha twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_VGHA I_VGHA
fcbf right twice and turn opposite left	I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_LEFT I_TURN_LEFT
idej around right twice after idej opposite left twice	I_TURN_LEFT I_TURN_LEFT I_IDEJ I_TURN_LEFT I_TURN_LEFT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_IDEJ
turn opposite right and turn around right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn right thrice after qlcv right twice	I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
txpe around left twice and cgrz	I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_CGRZ
dlmc right twice and turn opposite left twice	I_TURN_RIGHT I_DLMC I_TURN_RIGHT I_DLMC I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
qlcv around right and qlcv right twice	I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV
pvrq left thrice after pvrq opposite left	I_TURN_LEFT I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ
turn around right and yvbl	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_YVBL
rjxc opposite right twice after turn opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_RJXC I_TURN_RIGHT I_TURN_RIGHT I_RJXC
walk right thrice and boch opposite left	I_TURN_RIGHT I_WALK I_TURN_RIGHT I_WALK I_TURN_RIGHT I_WALK I_TURN_LEFT I_TURN_LEFT I_BOCH
look opposite right twice after nvnj	I_NVNJ I_TURN_RIGHT I_TURN_RIGHT I_LOOK I_TURN_RIGHT I_TURN_RIGHT I_LOOK
xrym opposite right twice and turn left twice	I_TURN_RIGHT I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_TURN_RIGHT I_XRYM I_TURN_LEFT I_TURN_LEFT
cgrz opposite right twice and tece	I_TURN_RIGHT I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_TURN_RIGHT I_CGRZ I_TECE
run thrice and run opposite right twice	I_RUN I_RUN I_RUN I_TURN_RIGHT I_TURN_RIGHT I_RUN I_TURN_RIGHT I_TURN_RIGHT I_RUN
turn left twice and turn opposite right thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
mxay right thrice after mxay opposite right	I_TURN_RIGHT I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY
icho twice and icho around right twice	I_ICHO I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO
turn left twice after yqvi opposite left twice	I_TURN_LEFT I_TURN_LEFT I_YQVI I_TURN_LEFT I_TURN_LEFT I_YQVI I_TURN_LEFT I_TURN_LEFT
ohlm around left thrice and turn right twice	I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_RIGHT I_TURN_RIGHT
zsvr left thrice and zsvr opposite left	I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_TURN_LEFT I_ZSVR
zbxv right after garz twice	I_GARZ I_GARZ I_TURN_RIGHT I_ZBXV
zbxv twice after zbxv left twice	I_TURN_LEFT I_ZBXV I_TURN_LEFT I_ZBXV I_ZBXV I_ZBXV
jjep right thrice and reqk opposite right	I_TURN_RIGHT I_JJEP I_TURN_RIGHT I_JJEP I_TURN_RIGHT I_JJEP I_TURN_RIGHT I_TURN_RIGHT I_REQK
mlbs right twice after mlbs	I_MLBS I_TURN_RIGHT I_MLBS I_TURN_RIGHT I_MLBS
mxay around left twice and turn left twice	I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_TURN_LEFT
vosv left twice after qnsr around left twice	I_TURN_LEFT I_QNSR I_TURN_LEFT I_QNSR I_TURN_LEFT I_QNSR I_TURN_LEFT I_QNSR I_TURN_LEFT I_QNSR I_TURN_LEFT I_QNSR I_TURN_LEFT I_QNSR I_TURN_LEFT I_QNSR I_TURN_LEFT I_VOSV I_TURN_LEFT I_VOSV
xlie opposite right after xlie right	I_TURN_RIGHT I_XLIE I_TURN_RIGHT I_TURN_RIGHT I_XLIE
turn around left after gmha right twice	I_TURN_RIGHT I_GMHA I_TURN_RIGHT I_GMHA I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
izcb left twice and izcb left	I_TURN_LEFT I_IZCB I_TURN_LEFT I_IZCB I_TURN_LEFT I_IZCB
xlie left and xlie	I_TURN_LEFT I_XLIE I_XLIE
turn opposite right and cufv opposite left	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_CUFV
mlle left thrice after turn opposite left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE
cgrz thrice after cgrz around right thrice	I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_CGRZ I_CGRZ I_CGRZ
uzoh left thrice and turn left twice	I_TURN_LEFT I_UZOH I_TURN_LEFT I_UZOH I_TURN_LEFT I_UZOH I_TURN_LEFT I_TURN_LEFT
oymp left and asmf thrice	I_TURN_LEFT I_OYMP I_ASMF I_ASMF I_ASMF
